Abbreviation,State,Level,Point,X,Y,Y2,Y3,Y4,Y5,Y6
CT,Connecticut,4,1,22,-1,-0.5,-0.1,2.6,3,4.6
CT,Connecticut,4,2,23,0,0.5,0.9,3.6,3.6,5.2
CT,Connecticut,4,3,23,2,2,2,4.7,4.7,6.3
CT,Connecticut,4,4,22,3,3,3,5.7,5.3,6.9
CT,Connecticut,4,5,21,2,2,2,4.7,4.7,6.3
CT,Connecticut,4,6,21,0,0.5,0.9,3.6,3.6,5.2
CO,Colorado,5,1,7,-4,-3.5,-3.1,0.5,0.9,2.9
CO,Colorado,5,2,8,-3,-2.5,-2.1,1.5,1.5,3.5
CO,Colorado,5,3,8,-1,-1,-1,2.6,2.6,4.6
CO,Colorado,5,4,7,0,0,0,3.6,3.2,5.2
CO,Colorado,5,5,6,-1,-1,-1,2.6,2.6,4.6
CO,Colorado,5,6,6,-3,-2.5,-2.1,1.5,1.5,3.5
CA,California,6,1,4,-7,-6.5,-6.1,-1.6,-1.2,1.2
CA,California,6,2,5,-6,-5.5,-5.1,-0.6,-0.6,1.8
CA,California,6,3,5,-4,-4,-4,0.5,0.5,2.9
CA,California,6,4,4,-3,-3,-3,1.5,1.1,3.5
CA,California,6,5,3,-4,-4,-4,0.5,0.5,2.9
CA,California,6,6,3,-6,-5.5,-5.1,-0.6,-0.6,1.8
AZ,Arizona,6,1,6,-7,-6.5,-6.1,-1.6,-1.2,1.2
AZ,Arizona,6,2,7,-6,-5.5,-5.1,-0.6,-0.6,1.8
AZ,Arizona,6,3,7,-4,-4,-4,0.5,0.5,2.9
AZ,Arizona,6,4,6,-3,-3,-3,1.5,1.1,3.5
AZ,Arizona,6,5,5,-4,-4,-4,0.5,0.5,2.9
AZ,Arizona,6,6,5,-6,-5.5,-5.1,-0.6,-0.6,1.8
AR,Arkansas,6,1,12,-7,-6.5,-6.1,-1.6,-1.2,1.2
AR,Arkansas,6,2,13,-6,-5.5,-5.1,-0.6,-0.6,1.8
AR,Arkansas,6,3,13,-4,-4,-4,0.5,0.5,2.9
AR,Arkansas,6,4,12,-3,-3,-3,1.5,1.1,3.5
AR,Arkansas,6,5,11,-4,-4,-4,0.5,0.5,2.9
AR,Arkansas,6,6,11,-6,-5.5,-5.1,-0.6,-0.6,1.8
AL,Alabama,7,1,15,-10,-9.5,-9.1,-3.7,-3.3,-0.5
AL,Alabama,7,2,16,-9,-8.5,-8.1,-2.7,-2.7,0.1
AL,Alabama,7,3,16,-7,-7,-7,-1.6,-1.6,1.2
AL,Alabama,7,4,15,-6,-6,-6,-0.6,-1,1.8
AL,Alabama,7,5,14,-7,-7,-7,-1.6,-1.6,1.2
AL,Alabama,7,6,14,-9,-8.5,-8.1,-2.7,-2.7,0.1
AK,Alaska,1,1,1,8,8.5,8.9,8.9,9.3,9.7
AK,Alaska,1,2,2,9,9.5,9.9,9.9,9.9,10.3
AK,Alaska,1,3,2,11,11,11,11,11,11.4
AK,Alaska,1,4,1,12,12,12,12,11.6,12
AK,Alaska,1,5,0,11,11,11,11,11,11.4
AK,Alaska,1,6,0,9,9.5,9.9,9.9,9.9,10.3
